ID	freq	MeanTSLF	severity	MFRI	plot	trap	fieldtrip	treatment	TSLF	Year	Season
30	9	17.88949074	2	29.74704336	8	C1B	C1	QT	3	2019	Dry
31	9	17.88949074	2	29.74704336	8	C1C	C1	QT	3	2019	Dry
32	9	17.88949074	2	29.74704336	8	C1D	C1	QT	3	2019	Dry
33	7	20.47412281	1.416666667	35.83552343	1	C2A	C2	C	5	2021	Wet
34	7	20.47412281	1.416666667	35.83552343	1	C2B	C2	C	5	2021	Wet
35	8	23.51345029	1.583333333	22.00112634	1	C2C	C2	C	5	2021	Wet
36	8	23.51345029	1.583333333	22.00112634	1	C2D	C2	C	5	2021	Wet
37	7	19.18508772	1.5	28.17017083	2	C2A	C2	Q	5	2021	Wet
38	7	20.47602339	1.333333333	35.83552343	2	C2B	C2	Q	5	2021	Wet
39	7	20.47602339	1.333333333	35.83552343	2	C2C	C2	Q	5	2021	Wet
40	7	19.18508772	1.5	28.17017083	2	C2D	C2	Q	5	2021	Wet
41	6	23.30160819	1.25	33.80420499	3	C2A	C2	Q	4	2021	Wet
42	6	23.30160819	1.25	33.80420499	3	C2B	C2	Q	4	2021	Wet
43	6	23.30160819	1.25	33.80420499	3	C2C	C2	Q	4	2021	Wet
44	6	23.30160819	1.25	33.80420499	3	C2D	C2	Q	4	2021	Wet
45	8	22.29122807	1.75	24.14586071	4	C2A	C2	Q	4	2021	Wet
46	8	22.29122807	1.75	24.14586071	4	C2B	C2	Q	4	2021	Wet
47	8	22.29122807	1.75	24.14586071	4	C2C	C2	Q	4	2021	Wet
48	8	22.29122807	1.75	24.14586071	4	C2D	C2	Q	4	2021	Wet
49	8	18.88001137	1.75	32.13816407	5	C2A	C2	C	4	2021	Wet
50	8	18.88001137	1.75	32.13816407	5	C2B	C2	C	4	2021	Wet
51	8	18.88001137	1.75	32.13816407	5	C2C	C2	C	4	2021	Wet
52	8	18.88001137	1.75	32.13816407	5	C2D	C2	C	4	2021	Wet
53	10	15.65676576	2.416666667	20.108775	6	C2A	C2	C	3	2021	Wet
54	10	17.38847466	2.333333333	20.108775	6	C2B	C2	C	3	2021	Wet
55	10	17.38847466	2.333333333	20.108775	6	C2C	C2	C	3	2021	Wet
56	10	15.65676576	2.416666667	20.108775	6	C2D	C2	C	3	2021	Wet
57	10	17.2222807	2.166666667	26.44181632	8	C2A	C2	Q	4	2021	Wet
58	10	17.2222807	2.166666667	26.44181632	8	C2B	C2	Q	4	2021	Wet
59	10	17.2222807	2.166666667	26.44181632	8	C2C	C2	Q	4	2021	Wet
60	10	17.2222807	2.166666667	26.44181632	8	C2D	C2	Q	4	2021	Wet
61	10	13.96361842	2	22.4412323	1	C3A	C3	Q	3	2021	Wet
62	10	15.25857143	2.083333333	22.55073733	1	C3B	C3	Q	3	2021	Wet
63	10	15.25857143	2.083333333	22.55073733	1	C3C	C3	Q	3	2021	Wet
64	10	15.25857143	2.083333333	22.55073733	1	C3D	C3	Q	3	2021	Wet
65	10	17.30937169	2.083333333	27.77412761	2	C3A	C3	Q	3	2021	Wet
66	8	16.12796784	1.583333333	25.85413929	2	C3B	C3	Q	3	2021	Wet
67	10	17.30937169	2.083333333	27.77412761	2	C3C	C3	Q	3	2021	Wet
68	10	17.30937169	2.083333333	27.77412761	2	C3D	C3	Q	3	2021	Wet
69	8	30.05392857	1.833333333	20.71522433	3	C3A	C3	Q	4	2021	Wet
70	8	30.05392857	1.833333333	20.71522433	3	C3B	C3	Q	4	2021	Wet
71	10	13.88464286	2.083333333	26.32866112	3	C3C	C3	Q	4	2021	Wet
72	10	13.88464286	2.083333333	26.32866112	3	C3D	C3	Q	4	2021	Wet
73	5	37.5060119	1.166666667	36.25164258	4	C3A	C3	Q	4	2021	Wet
74	5	37.5060119	1.166666667	36.25164258	4	C3B	C3	Q	4	2021	Wet
75	5	37.5060119	1.166666667	36.25164258	4	C3C	C3	Q	4	2021	Wet
76	5	37.5060119	1.166666667	36.25164258	4	C3D	C3	Q	4	2021	Wet
77	12	13.73946429	2.5	21.63421336	5	C3A	C3	C	3	2021	Wet
78	12	13.73946429	2.5	21.63421336	5	C3B	C3	C	3	2021	Wet
79	12	13.59525794	2.666666667	21.63421336	5	C3C	C3	C	3	2021	Wet
80	12	13.59525794	2.666666667	21.63421336	5	C3D	C3	C	3	2021	Wet
81	12	12.87843254	2.333333333	21.63421336	6	C3A	C3	C	3	2021	Wet
82	12	12.87843254	2.333333333	21.63421336	6	C3B	C3	C	3	2021	Wet
83	12	12.87843254	2.333333333	21.63421336	6	C3C	C3	C	3	2021	Wet
84	12	12.87843254	2.333333333	21.63421336	6	C3D	C3	C	3	2021	Wet
85	8	22.09246693	1.416666667	35.70959264	7	C3A	C3	C	4	2021	Wet
86	8	22.09246693	1.416666667	35.70959264	7	C3B	C3	C	4	2021	Wet
87	8	22.09246693	1.416666667	35.70959264	7	C3C	C3	C	4	2021	Wet
88	8	22.09246693	1.416666667	35.70959264	7	C3D	C3	C	4	2021	Wet
89	10	25.68106481	1.833333333	27.77412761	8	C3A	C3	C	4	2021	Wet
90	7	28.27511243	1.416666667	41.66119141	8	C3B	C3	C	4	2021	Wet
91	7	28.27511243	1.416666667	41.66119141	8	C3C	C3	C	4	2021	Wet
92	7	28.27511243	1.416666667	41.66119141	8	C3D	C3	C	4	2021	Wet
93	9	19.48598684	1.833333333	27.12713535	1	C4A	C4	C	1	2021	Dry
94	9	19.48598684	1.833333333	27.12713535	1	C4B	C4	C	1	2021	Dry
95	9	19.48598684	1.833333333	27.12713535	1	C4C	C4	C	1	2021	Dry
96	9	19.48598684	1.833333333	27.12713535	1	C4D	C4	C	1	2021	Dry
97	7	24.57912037	1.416666667	38.16798073	2	C4A	C4	C	1	2021	Dry
98	7	24.57912037	1.416666667	38.16798073	2	C4B	C4	C	1	2021	Dry
99	7	25.28865741	1.416666667	38.16798073	2	C4C	C4	C	1	2021	Dry
100	7	25.28865741	1.416666667	38.16798073	2	C4D	C4	C	1	2021	Dry
101	10	16.88499339	1.916666667	27.77412761	3	C4A	C4	C	1	2021	Dry
102	10	16.88499339	1.916666667	27.77412761	3	C4B	C4	C	1	2021	Dry
103	10	16.88499339	1.916666667	27.77412761	3	C4C	C4	C	1	2021	Dry
104	10	16.88499339	1.916666667	27.77412761	3	C4D	C4	C	1	2021	Dry
105	10	16.19297619	2.083333333	26.44181632	4	C4A	C4	Q	2	2021	Dry
106	10	16.19297619	2.083333333	26.44181632	4	C4B	C4	Q	2	2021	Dry
107	10	16.19297619	2.083333333	26.44181632	4	C4C	C4	Q	2	2021	Dry
108	10	16.19297619	2.083333333	26.44181632	4	C4D	C4	Q	2	2021	Dry
109	8	18.2811045	1.666666667	33.99662099	5	C4A	C4	Q	2	2021	Dry
110	8	18.2811045	1.666666667	33.99662099	5	C4B	C4	Q	2	2021	Dry
111	8	18.2811045	1.666666667	33.99662099	5	C4C	C4	Q	2	2021	Dry
112	8	18.2811045	1.666666667	33.99662099	5	C4D	C4	Q	2	2021	Dry
113	12	12.61167328	2.416666667	21.63421336	6	C4A	C4	Q	2	2021	Dry
114	11	14.11157407	2.333333333	23.79763469	6	C4B	C4	Q	2	2021	Dry
115	12	12.61167328	2.416666667	21.63421336	6	C4C	C4	Q	2	2021	Dry
116	12	12.61167328	2.416666667	21.63421336	6	C4D	C4	Q	2	2021	Dry
117	9	15.44548246	1.75	28.49868594	7	C4A	C4	C	2	2021	Dry
118	9	15.44548246	1.75	28.49868594	7	C4B	C4	C	2	2021	Dry
119	9	15.44548246	1.75	28.49868594	7	C4C	C4	C	2	2021	Dry
120	9	15.44548246	1.75	28.49868594	7	C4D	C4	C	2	2021	Dry
121	7	22.21361842	1.5	27.66644766	1	C5A	C5	Q	2	2021	Dry
122	7	22.21361842	1.5	27.66644766	1	C5B	C5	Q	2	2021	Dry
123	7	22.21361842	1.5	27.66644766	1	C5C	C5	Q	2	2021	Dry
124	7	22.21361842	1.5	27.66644766	1	C5D	C5	Q	2	2021	Dry
125	7	22.65674603	1.416666667	29.83464739	2	C5A	C5	C	1	2021	Dry
126	7	22.65674603	1.416666667	29.83464739	2	C5B	C5	C	1	2021	Dry
127	7	22.65674603	1.416666667	29.83464739	2	C5C	C5	C	1	2021	Dry
128	8	21.97579365	1.666666667	25.57255491	2	C5D	C5	C	1	2021	Dry
129	7	22.65674603	1.416666667	29.83464739	3	C5A	C5	C	1	2021	Dry
130	7	22.65674603	1.416666667	29.83464739	3	C5B	C5	C	1	2021	Dry
131	7	22.65674603	1.416666667	29.83464739	3	C5C	C5	C	1	2021	Dry
132	7	22.65674603	1.416666667	29.83464739	3	C5D	C5	C	1	2021	Dry
133	7	21.45456465	1.5	25.49824792	4	C5A	C5	C	2	2021	Dry
134	7	21.45456465	1.5	25.49824792	4	C5B	C5	C	2	2021	Dry
135	7	21.45456465	1.5	25.49824792	4	C5C	C5	C	2	2021	Dry
136	7	21.45456465	1.5	25.49824792	4	C5D	C5	C	2	2021	Dry
137	7	20.4564165	1.5	29.32544897	5	C5A	C5	C	2	2021	Dry
138	7	20.4564165	1.5	29.32544897	5	C5B	C5	C	2	2021	Dry
139	6	25.61148473	1.416666667	30.5978975	5	C5C	C5	C	2	2021	Dry
140	7	20.4564165	1.5	29.32544897	5	C5D	C5	C	2	2021	Dry
141	9	14.40719623	1.75	24.99589356	6	C5A	C5	C	1	2021	Dry
142	8	16.88253736	1.666666667	28.5667355	6	C5B	C5	C	1	2021	Dry
143	9	14.40719623	1.75	24.99589356	6	C5C	C5	C	1	2021	Dry
144	9	14.40719623	1.75	24.99589356	6	C5D	C5	C	1	2021	Dry
145	8	16.59358206	1.833333333	28.99380514	7	C5A	C5	Q	2	2021	Dry
146	8	16.59358206	1.833333333	28.99380514	7	C5B	C5	Q	2	2021	Dry
147	8	16.59358206	1.833333333	28.99380514	7	C5C	C5	Q	2	2021	Dry
148	8	16.59358206	1.833333333	28.99380514	7	C5D	C5	Q	2	2021	Dry
149	7	23.96861111	1.583333333	34.33530442	1	C6A	C6	Q	3	2022	Wet/Dry
150	7	29.55083333	1.666666667	34.33530442	1	C6B	C6	Q	3	2022	Wet/Dry
151	7	23.96861111	1.583333333	34.33530442	1	C6C	C6	Q	3	2022	Wet/Dry
152	7	23.96861111	1.583333333	34.33530442	1	C6D	C6	Q	3	2022	Wet/Dry
153	6	15.24722222	1.416666667	26.80026281	2	C6A	C6	Q	3	2022	Wet/Dry
154	6	15.24722222	1.416666667	26.80026281	2	C6B	C6	Q	3	2022	Wet/Dry
155	6	15.24722222	1.416666667	26.80026281	2	C6C	C6	Q	3	2022	Wet/Dry
156	6	15.24722222	1.416666667	26.80026281	2	C6D	C6	Q	3	2022	Wet/Dry
157	5	22.69576185	1.25	41.74605782	3	C6A	C6	C	3	2022	Wet/Dry
158	5	22.69576185	1.25	41.74605782	3	C6B	C6	C	3	2022	Wet/Dry
159	6	19.90777165	1.5	33.39684625	3	C6C	C6	C	3	2022	Wet/Dry
160	6	19.90777165	1.5	33.39684625	3	C6D	C6	C	3	2022	Wet/Dry
161	7	20.80937865	1.333333333	29.66491459	4	C6A	C6	C/Q	5	2022	Wet/Dry
162	7	20.80937865	1.333333333	29.66491459	4	C6B	C6	C/Q	5	2022	Wet/Dry
163	7	25.0927193	1.333333333	29.66491459	4	C6C	C6	C/Q	5	2022	Wet/Dry
164	7	25.0927193	1.333333333	29.66491459	4	C6D	C6	C/Q	5	2022	Wet/Dry
165	7	16.8305291	1.5	27.99496277	5	C6A	C6	C	3	2022	Wet/Dry
166	7	16.8305291	1.5	27.99496277	5	C6B	C6	C	3	2022	Wet/Dry
167	7	16.8305291	1.5	27.99496277	5	C6C	C6	C	3	2022	Wet/Dry
168	7	16.8305291	1.5	27.99496277	5	C6D	C6	C	3	2022	Wet/Dry
169	7	20.0425731	1.416666667	29.66491459	6	C6A	C6	Q	5	2022	Wet/Dry
170	7	20.0425731	1.416666667	29.66491459	6	C6B	C6	Q	5	2022	Wet/Dry
171	7	20.0425731	1.416666667	29.66491459	6	C6C	C6	Q	5	2022	Wet/Dry
172	7	20.0425731	1.416666667	29.66491459	6	C6D	C6	Q	5	2022	Wet/Dry
