,ID,freq,MeanTSLF,severity,MFRI,plot,trap,treatment,TSLF
164,164,7,25.0927193,1.333333333,29.66491459,4,C6D,C/Q,5
165,165,7,16.8305291,1.5,27.99496277,5,C6A,C,3
166,166,7,16.8305291,1.5,27.99496277,5,C6B,C,3
167,167,7,16.8305291,1.5,27.99496277,5,C6C,C,3
168,168,7,16.8305291,1.5,27.99496277,5,C6D,C,3
169,169,7,20.0425731,1.416666667,29.66491459,6,C6A,Q,5
170,170,7,20.0425731,1.416666667,29.66491459,6,C6B,Q,5
171,171,7,20.0425731,1.416666667,29.66491459,6,C6C,Q,5
172,172,7,20.0425731,1.416666667,29.66491459,6,C6D,Q,5
173,173,9,17.29618386,1.75,29.61974376,A2,A2_1,A2_1,NA
174,174,8,18.54355159,1.666666667,27.71259621,A2,A2_10,A2_10,NA
175,175,8,18.54355159,1.666666667,27.71259621,A2,A2_11,A2_11,NA
176,176,8,18.54355159,1.666666667,27.71259621,A2,A2_12,A2_12,NA
177,177,9,17.29618386,1.75,29.61974376,A2,A2_2,A2_2,NA
178,178,9,17.29618386,1.75,29.61974376,A2,A2_3,A2_3,NA
179,179,9,17.29618386,1.75,29.61974376,A2,A2_4,A2_4,NA
180,180,8,18.54355159,1.666666667,27.71259621,A2,A2_5,A2_5,NA
181,181,8,18.54355159,1.666666667,27.71259621,A2,A2_6,A2_6,NA
182,182,8,18.54355159,1.666666667,27.71259621,A2,A2_7,A2_7,NA
183,183,8,18.54355159,1.666666667,27.71259621,A2,A2_8,A2_8,NA
184,184,8,18.54355159,1.666666667,27.71259621,A2,A2_9,A2_9,NA
185,185,8,23.65875,1.666666667,27.71259621,A1,A1_1,A1_1,NA
186,186,7,24.06712302,1.416666667,32.33136224,A1,A1_10,A1_10,NA
187,187,7,24.06712302,1.416666667,32.33136224,A1,A1_11,A1_11,NA
188,188,7,24.06712302,1.416666667,32.33136224,A1,A1_12,A1_12,NA
189,189,8,23.65875,1.666666667,27.71259621,A1,A1_2,A1_2,NA
190,190,8,23.65875,1.666666667,27.71259621,A1,A1_3,A1_3,NA
191,191,8,23.65875,1.666666667,27.71259621,A1,A1_4,A1_4,NA
192,192,8,23.65875,1.666666667,27.71259621,A1,A1_5,A1_5,NA
193,193,8,23.65875,1.666666667,27.71259621,A1,A1_6,A1_6,NA
194,194,7,24.06712302,1.416666667,32.33136224,A1,A1_7,A1_7,NA
195,195,7,24.06712302,1.416666667,32.33136224,A1,A1_8,A1_8,NA
196,196,7,24.06712302,1.416666667,32.33136224,A1,A1_9,A1_9,NA
197,197,8,17.69161793,1.583333333,25.42237657,A3,A3_1,A3_1,NA
198,198,8,22.3657245,1.75,32.13816407,A3,A3_10,A3_10,NA
199,199,7,23.61650422,1.5,37.49452475,A3,A3_11,A3_11,NA
200,200,7,23.61650422,1.5,37.49452475,A3,A3_12,A3_12,NA
201,201,8,22.3657245,1.75,32.13816407,A3,A3_2,A3_2,NA
202,202,8,22.3657245,1.75,32.13816407,A3,A3_3,A3_3,NA
203,203,8,22.3657245,1.75,32.13816407,A3,A3_4,A3_4,NA
204,204,8,22.3657245,1.75,32.13816407,A3,A3_5,A3_5,NA
205,205,8,22.3657245,1.75,32.13816407,A3,A3_6,A3_6,NA
206,206,8,22.3657245,1.75,32.13816407,A3,A3_7,A3_7,NA
207,207,8,22.3657245,1.75,32.13816407,A3,A3_8,A3_8,NA
208,208,8,22.3657245,1.75,32.13816407,A3,A3_9,A3_9,NA
209,209,12,14.2031514,2.666666667,19.36148608,A4,A4_1,A4_1,NA
210,210,12,14.2031514,2.666666667,19.36148608,A4,A4_10,A4_10,NA
211,211,12,14.2031514,2.666666667,19.36148608,A4,A4_11,A4_11,NA
212,212,12,14.2031514,2.666666667,19.36148608,A4,A4_12,A4_12,NA
213,213,12,14.2031514,2.666666667,19.36148608,A4,A4_2,A4_2,NA
214,214,12,14.2031514,2.666666667,19.36148608,A4,A4_3,A4_3,NA
215,215,12,14.2031514,2.666666667,19.36148608,A4,A4_4,A4_4,NA
216,216,12,14.2031514,2.666666667,19.36148608,A4,A4_5,A4_5,NA
217,217,12,14.2031514,2.666666667,19.36148608,A4,A4_6,A4_6,NA
218,218,12,14.2031514,2.666666667,19.36148608,A4,A4_7,A4_7,NA
219,219,12,14.2031514,2.666666667,19.36148608,A4,A4_8,A4_8,NA
220,220,12,14.2031514,2.666666667,19.36148608,A4,A4_9,A4_9,NA
